"Assets > Saraswat Bank - S.B. A/c 152200100300217 ( 101001 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
ME-2025-0000206,301009 301003 301011 301016 303001 304001 301004 301007,2Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges Non Occupancy Charges, 403,20-04-2025,NEFT recd agst bill 018 dt. 01.04.25,HDFCH00192601639,HDFC Bank , Saraswat Bank - S.B. A/c 152200100300217 ,101001,3498.00,,
ME-2025-0000198,301002 301003 301011 301016 303001 304001 301004,4Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 602,21-04-2025,Ch. recd agst bill 25 Dt 01.04.25,000040,Standard Chartered Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3388.00,,
ME-2025-0000200,301009 301003 301011 301016 304001 301004,2Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Sinking Fund Water Charges, G001,23-04-2025,Ch. recd agst bill 28 Dt 01.04.25,000011,Bassein Catholic Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,2378.00,,
ME-2025-0000199,301009 301002 301010 301003 301011 301016 303001 304001 301004,2Wheeler Parking Charges  4Wheeler Parking Charges  Additional Space Charges Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 102,24-04-2025,Ch. recd agst bill 05 Dt 01.04.25,697613,State Bank of India, Saraswat Bank - S.B. A/c 152200100300217 ,101001,4698.00,,
ME-2025-0000195,301002 301003 301011 301016 303001 304001 301004,4Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 302,25-04-2025,NEFT recd agst bill 0013 dt 01.04.2025,511509682931,N.A., Saraswat Bank - S.B. A/c 152200100300217 ,101001,3348.00,,
ME-2025-0000196,301002 301010 301003 301011 301016 303001 304001 301004,4Wheeler Parking Charges  Additional Space Charges Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 601,25-04-2025,NEFT recd agst bill 0013 dt 01.04.2025,511509682931,N.A., Saraswat Bank - S.B. A/c 152200100300217 ,101001,4436.00,,
ME-2025-0000197,301003 301011 301016 303001 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 304,25-04-2025,Ch. recd agst bill 15 Dt 01.04.25,098791,Punjab National bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3194.00,,
ME-2025-0000201,301002 301010 301003 301011 301016 303001 304001 301004,4Wheeler Parking Charges  Additional Space Charges Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 101,25-04-2025,Ch. recd agst bill 04 Dt 01.04.25,000141,HDFC Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,4394.00,,
ME-2025-0000207,301003 301011 301016 303001 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 603,25-04-2025,NEFT recd agst bill 026 dt. 01.04.2025,HDFCH00201787660,HDFC Bank , Saraswat Bank - S.B. A/c 152200100300217 ,101001,3188.00,,
ME-2025-0000208,301009 301002 301003 301011 301016 303001 304001 301004 301007,2Wheeler Parking Charges  4Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges Non Occupancy Charges, 204,26-04-2025,UPI recd agst bill 011 dt 01.04.25,511676155479,Punjab National Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,5044.00,,
EE-2025-0000033,408021,Structural Audit ,Retro Fitters Consulting Engineers,28-04-2025,Being bill paid for Structural Audit & Visual survey Report,180449,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,20060,
EE-2025-0000037,408002,Accounting Charges,Irene Rosario,02-05-2025,Being accounting bill paid for Apr to June 2025,180450,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,4633,
EE-2025-0000041,401001,Salary Expenses,Shantaram Katkar,02-05-2025,Being salary paid for April 2025,195281,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,2000,
EE-2025-0000129,408010,Professional Fees,Irene Rosario,04-05-2025,Being accounting charges for July to Sept 2025 paid,195302,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,4633,
EE-2026-0000008,407001,Security Charges,Deepak Security Service,05-05-2025,Being bill paid for April 2025,195282,29608, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,29700,
EE-2025-0000057,401001,Salary Expenses,Chitra Parmar,05-05-2025,Being salary paid for April 2026,195283,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,4000,
EE-2026-0000009,401001,Salary Expenses,Gardner,05-05-2025,Being salary paid for April 2025,195284,29608, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,1000,
EE-2025-0000315,403001,Electricity Charges,TATA Power,05-05-2025,Being elec bill paid Apr 2025,7950843552,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,1165,
EE-2025-0000316,403001,Electricity Charges,TATA Power,05-05-2025,Being elec bill paid Apr 2025,7950843553,, Saraswat Bank - S.B. A/c 152200100300217 ,101001,,6626,
ME-2025-0000424,206001,Advance Members, 502,10-05-2025,UPI recd as advance,104616157273,HDFC Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3500.00,,
ME-2025-0000425,301002 301003 301011 301016 303001 304001 301004,4Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 503,12-05-2025,IMPS recd agst bill no. 054 dt 01.05.2025,513217508074,N.A., Saraswat Bank - S.B. A/c 152200100300217 ,101001,3388.00,,
ME-2025-0000412,301003 301011 301016 303001 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 401,14-05-2025,NEFT recd agst bill dt. 01.05.25,ICICN12025051479366248,ICICI Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3194.00,,
ME-2025-0000413,301003 301011 301016 303001 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 404,14-05-2025,NEFT recd agst bill dt. 01.05.25,ICICN12025051479366248,ICICI Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3194.00,,
ME-2025-0000414,301003 301011 301016 303001 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 501,14-05-2025,NEFT recd agst bill dt. 01.05.25,ICICN12025051479366248,ICICI Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3236.00,,
ME-2025-0000415,301003 301011 301016 303001 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 504,14-05-2025,NEFT recd agst bill dt. 01.05.25,ICICN12025051479366248,ICICI Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3236.00,,
ME-2025-0000416,301002 301003 301011 301016 303001 304001 301004,4Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 302,16-05-2025,NEFT recd agst bill dt. 01.0.25,R001251369658605,Saraswat Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3348.00,,
ME-2025-0000417,301002 301010 301003 301011 301016 303001 304001 301004,4Wheeler Parking Charges  Additional Space Charges Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 601,16-05-2025,NEFT recd agst bill dt. 01.0.25,R001251369658605,Saraswat Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,4436.00,,
ME-2025-0000426,301012 301003 301011 301016 303001 304001,Late Payment Interest Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund, G2,16-05-2025,NEFT recd agst bill no. 034 dt 01.05.2025,BARBW25136020624,N.A., Saraswat Bank - S.B. A/c 152200100300217 ,101001,20141.00,,
ME-2025-0000427,301012 301009 301003 301011 301016 303001 304001,Late Payment Interest 2Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund 2Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund, S1/2/3,16-05-2025,NEFT recd agst bill no. 035 dt 01.05.2025,BARBW25136031854,N.A., Saraswat Bank - S.B. A/c 152200100300217 ,101001,37334.00,,
ME-2025-0000428,301012 301010,Late Payment Interest Additional Space Charges Additional Space Charges, S1/2/3A,16-05-2025,NEFT recd agst bill no. 033 dt 01.05.2025,BARBW25136035304,N.A., Saraswat Bank - S.B. A/c 152200100300217 ,101001,25881.00,,
ME-2025-0000429,301009 301002 301003 301011 301016 303001 304001 301004,2Wheeler Parking Charges  4Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 602,17-05-2025,NEFT recd agst bill no. 057 dt 01.05.2025,SCBLH13700549538,SCBL Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3488.00,,
ME-2025-0000430,301009 301003 301011 301016 303001 304001 301004 301007,2Wheeler Parking Charges  Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges Non Occupancy Charges, 403,20-05-2025,NEFT recd agst bill no. 050 dt 01.05.2025,HDFCH00250423159,HDFC Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3498.00,,
ME-2025-0000432,301003 301011 301016 303001 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Property Tax Sinking Fund Water Charges, 603,20-05-2025,NEFT recd agst bill no. 058 dt 01.05.2025,HDFCH00252284036,HDFC Bank, Saraswat Bank - S.B. A/c 152200100300217 ,101001,3188.00,,
ME-2025-0000433,301003 301011 301016 304001 301004,Common Electricity Charges Education & Training Fund Maintenance Charges Sinking Fund Water Charges, G-II,21-05-2025,NEFT recd agst bill no. 059 dt 01.05.2025,DCBLH07935231,N.A., Saraswat Bank - S.B. A/c 152200100300217 ,101001,2240.00,,
