"Liabilities > Share Capital ( 201001 ) ",
"Liabilities > Retained Earnings ( 207001 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Retained Earnings ","207001","","203121.03",

"Balance : 203121.03(Credit)","","","","","","","","","","0","203121.03",

"Liabilities > Retention - Sejal Construction ( 301032 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Retention - Sejal Construction ","301032","","80300",
JE-2025-0000019,301032,Retention - Sejal Construction,,17-11-2025,Being retention amount adjusted,,, Retention - Sejal Construction ,301032,80300.00,,

"","","","","","","","","","","80300","80300",

