"Liabilities > Refundable Deposit ( 206003 ) ",
"Liabilities > Common Amenity Fund ( 207003 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Common Amenity Fund ","207003","","138034",
JE-2025-0000182,207003,Common Amenity Fund,,31-03-2026,Being interest trf to fund 25-26,,, Common Amenity Fund ,207003,,9900.00,

"Balance : 147934(Credit)","","","","","","","","","","0","147934",

"Liabilities > Pest Control Fund ( 207005 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Pest Control Fund ","207005","","137847",
JE-2025-0000182,207005,Pest Control Fund,,31-03-2026,Being interest trf to fund 25-26,,, Pest Control Fund ,207005,,7985.00,
JE-2025-0000190,207005,Pest Control Fund,,31-03-2026,Being pest control fund interest trf to liabilities fund 25-26,,, Pest Control Fund ,207005,,3466.00,
JE-2025-0000183,207005,Pest Control Fund,,31-03-2026,Being pest control exp trf to liabilities,,, Pest Control Fund ,207005,6470.00,,

"Balance : 142828(Credit)","","","","","","","","","","6470","149298",

"Liabilities > Land  and  Building ( 207007 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Land  and  Building ","207007","","2227750",

"Balance : 2227750(Credit)","","","","","","","","","","0","2227750",

"Liabilities > Provision Audit Fees ( 207008 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Provision Audit Fees ","207008","","3600",
JE-2025-0000061,207008,Provision Audit Fees,,01-04-2025,Being provision reversed,,, Provision Audit Fees ,207008,3600.00,,
JE-2025-0000065,207008,Provision Audit Fees,,31-03-2026,Provision for the year 2025-2026,,, Provision Audit Fees ,207008,,3600.00,

"Balance : 3600(Credit)","","","","","","","","","","3600","7200",

"Liabilities > Provision Water Charges ( 207009 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Provision Water Charges ","207009","","18026",
JE-2025-0000060,207009,Provision Water Charges,,01-04-2025,Being provision reversed,,, Provision Water Charges ,207009,18026.00,,
JE-2025-0000063,207009,Provision Water Charges,,31-03-2026,Being Provision for water exp 03.01.26 to 31.03.2026,,, Provision Water Charges ,207009,,18771.00,

"Balance : 18771(Credit)","","","","","","","","","","18026","36797",

"Liabilities > Legal Fund ( 207011 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Legal Fund ","207011","","260748",
JE-2025-0000044,207011,Legal Fund,,31-03-2026,Being members contribution during FY 25-26 trfd to liability,,, Legal Fund ,207011,,21600.00,
JE-2025-0000182,207011,Legal Fund,,31-03-2026,Being interest trf to fund 25-26,,, Legal Fund ,207011,,18595.00,

"Balance : 300943(Credit)","","","","","","","","","","0","300943",

"Liabilities > Sinking Fund ( 207012 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Sinking Fund ","207012","","184476",
JE-2025-0000042,207012,Sinking Fund,,31-03-2026,Being members contribution during FY 25-26 trfd to liability,,, Sinking Fund ,207012,,7984.00,
JE-2025-0000182,207012,Sinking Fund,,31-03-2026,Being interest trf to fund 25-26,,, Sinking Fund ,207012,,13233.00,

"Balance : 205693(Credit)","","","","","","","","","","0","205693",

"Liabilities > Painting Fund ( 207013 ) ",
"Journal No","Other GL No.","Other Account","Subledger","Posted Date","Comments","Instrument No.","Instrument Bank","Account Name","GL Account No.","Debit","Credit",
"","","","","","Opening Balance","",""," Painting Fund ","207013","","166523",
JE-2025-0000043,207013,Painting Fund,,31-03-2026,Being members contribution during FY 25-26 trfd to liability,,, Painting Fund ,207013,,23956.00,
JE-2025-0000182,207013,Painting Fund,,31-03-2026,Being interest trf to fund 25-26,,, Painting Fund ,207013,,9923.00,
JE-2025-0000185,207013,Painting Fund,,31-03-2026,Being interest trf to fund 25-26,,, Painting Fund ,207013,,2055.00,

"Balance : 202457(Credit)","","","","","","","","","","0","202457",

